id,geo,wat_proc,LTAA
0,Austria,EVAP_TSP,43100
1,Austria,INFL_NBT,29300
2,Austria,INTFL,56700
3,Austria,OUTFL,86000
4,Austria,PRECIP,99800
5,Austria,RFW_RES,86000
6,Bosnia and Herzegovina,EVAP_TSP,25940
7,Bosnia and Herzegovina,INFL_NBT,2000
8,Bosnia and Herzegovina,INTFL,29922
9,Bosnia and Herzegovina,OUTFL,31922
10,Bosnia and Herzegovina,PRECIP,55863
11,Belgium,EVAP_TSP,15756.62
12,Belgium,INFL_NBT,11564.8
13,Belgium,INTFL,12282.04
14,Belgium,OUTFL,25748.97
15,Belgium,PRECIP,28038.66
16,Belgium,RFW_RES,24032.09
17,Bulgaria,EVAP_TSP,57252
18,Bulgaria,INFL_NBT,83731
19,Bulgaria,INTFL,16058
20,Bulgaria,OUTFL,102219
21,Bulgaria,PRECIP,73310
22,Bulgaria,RFW_RES,99789
23,Switzerland,EVAP_TSP,21382
24,Switzerland,INFL_NBT,12560
25,Switzerland,INTFL,39825
26,Switzerland,OUTFL,53140
27,Switzerland,PRECIP,61207
28,Switzerland,RFW_RES,52385
29,Cyprus,EVAP_TSP,2708.96
30,Cyprus,INFL_NBT,0
31,Cyprus,INTFL,32085
32,Cyprus,OUTFL,8016
33,Cyprus,PRECIP,3029.81
34,Cyprus,RFW_RES,320.85
35,Czechia,EVAP_TSP,38410
36,Czechia,INFL_NBT,575
37,Czechia,INTFL,15694
38,Czechia,OUTFL,15493
39,Czechia,PRECIP,54104
40,Czechia,RFW_RES,16260
41,Germany,EVAP_TSP,161000
42,Germany,INFL_NBT,71000
43,Germany,INTFL,117000
44,Germany,OUTFL,177000
45,Germany,PRECIP,278000
46,Germany,RFW_RES,188000
47,Denmark,EVAP_TSP,22145
48,Denmark,INFL_NBT,0
49,Denmark,INTFL,16340
50,Denmark,PRECIP,38485
51,Denmark,RFW_RES,16340
52,Estonia,INTFL,12346.6
53,Estonia,PRECIP,29017.7
54,Estonia,RFW_RES,12346.6
55,Greece,EVAP_TSP,55000
56,Greece,INFL_NBT,12000
57,Greece,INTFL,60000
58,Greece,PRECIP,115000
59,Greece,RFW_RES,72000
60,Spain,EVAP_TSP,226453
61,Spain,INFL_NBT,0
62,Spain,INTFL,107204
63,Spain,OUTFL,107204
64,Spain,PRECIP,333657
65,Spain,RFW_RES,107204
66,Finland,EVAP_TSP,115000
67,Finland,INFL_NBT,3200
68,Finland,INTFL,107000
69,Finland,OUTFL,110000
70,Finland,PRECIP,222000
71,Finland,RFW_RES,110000
72,France,EVAP_TSP,317327.387
73,France,INFL_NBT,11000
74,France,INTFL,195236.087
75,France,OUTFL,168000
76,France,PRECIP,512563.474
77,France,RFW_RES,206236.087
78,Croatia,EVAP_TSP,42095.71
79,Croatia,INFL_NBT,93782.95
80,Croatia,INTFL,24529.81
81,Croatia,OUTFL,118312.76
82,Croatia,PRECIP,66625.52
83,Croatia,RFW_RES,118312.76
84,Hungary,EVAP_TSP,48174
85,Hungary,INFL_NBT,108897.3
86,Hungary,INTFL,7533
87,Hungary,OUTFL,115657.1
88,Hungary,PRECIP,55707
89,Hungary,RFW_RES,116430.3
90,Ireland,EVAP_TSP,38308.07
91,Ireland,INFL_NBT,3469.03
92,Ireland,INTFL,49323.6
93,Ireland,PRECIP,87631.67
94,Ireland,RFW_RES,52792.64
95,Italy,EVAP_TSP,147282.75
96,Italy,INTFL,134469
97,Italy,PRECIP,281751.75
98,Lithuania,EVAP_TSP,31583.72
99,Lithuania,INFL_NBT,8413.24
100,Lithuania,INTFL,13854.16
101,Lithuania,OUTFL,23283.91
102,Lithuania,PRECIP,44886.19
103,Lithuania,RFW_RES,22267.41
104,Luxembourg,EVAP_TSP,1124.9
105,Luxembourg,INFL_NBT,739
106,Luxembourg,INTFL,905.1
107,Luxembourg,OUTFL,1600
108,Luxembourg,PRECIP,2030
109,Luxembourg,RFW_RES,1644.1
110,Latvia,EVAP_TSP,23573
111,Latvia,INFL_NBT,16992
112,Latvia,INTFL,19647
113,Latvia,OUTFL,32934
114,Latvia,PRECIP,43220
115,Latvia,RFW_RES,36639
116,Macedonia,INFL_NBT,1014
117,Macedonia,OUTFL,6322
118,Macedonia,PRECIP,19533
119,Malta,EVAP_TSP,9266
120,Malta,INFL_NBT,0
121,Malta,INTFL,84.61
122,Malta,OUTFL,54.68
123,Malta,PRECIP,177.26
124,Malta,RFW_RES,84.61
125,Netherlands,EVAP_TSP,21292.5
126,Netherlands,INFL_NBT,81500
127,Netherlands,INTFL,10325
128,Netherlands,OUTFL,90882
129,Netherlands,PRECIP,31617.5
130,Netherlands,RFW_RES,91825
131,Norway,EVAP_TSP,141052
132,Norway,INFL_NBT,12325
133,Norway,INTFL,233781
134,Norway,OUTFL,393066
135,Norway,PRECIP,374833
136,Norway,RFW_RES,246106
137,Poland,EVAP_TSP,142772
138,Poland,INFL_NBT,7668.7
139,Poland,INTFL,52883.8
140,Poland,OUTFL,60552.5
141,Poland,PRECIP,195655.8
142,Poland,RFW_RES,60552.5
143,Portugal,EVAP_TSP,43571
144,Portugal,INFL_NBT,35000
145,Portugal,INTFL,38593
146,Portugal,OUTFL,34000
147,Portugal,PRECIP,82164
148,Portugal,RFW_RES,73593
149,Romania,EVAP_TSP,115431.8
150,Romania,INFL_NBT,366
151,Romania,INTFL,39198
152,Romania,OUTFL,17232
153,Romania,PRECIP,154629.8
154,Romania,RFW_RES,39564
155,Serbia,EVAP_TSP,43714.24
156,Serbia,INFL_NBT,158329.696
157,Serbia,INTFL,13314.719
158,Serbia,OUTFL,171644.415
159,Serbia,PRECIP,57028.959
160,Serbia,RFW_RES,171644.415
161,Sweden,EVAP_TSP,164623
162,Sweden,INFL_NBT,14859
163,Sweden,INTFL,180474
164,Sweden,OUTFL,195333
165,Sweden,PRECIP,344572
166,Sweden,RFW_RES,195333
167,Slovenia,EVAP_TSP,13149.5
168,Slovenia,INFL_NBT,13495.9
169,Slovenia,INTFL,18596.2
170,Slovenia,OUTFL,32274.2
171,Slovenia,PRECIP,31745.7
172,Slovenia,RFW_RES,32092.1
173,Slovakia,EVAP_TSP,24278
174,Slovakia,INFL_NBT,67252
175,Slovakia,INTFL,13074
176,Slovakia,OUTFL,81680
177,Slovakia,PRECIP,37352
178,Slovakia,RFW_RES,80326
179,Turkey,EVAP_TSP,275700
180,Turkey,INFL_NBT,6900
181,Turkey,INTFL,227400
182,Turkey,OUTFL,178000
183,Turkey,PRECIP,503100
184,Turkey,RFW_RES,234300
185,United Kingdom,EVAP_TSP,127289.5
186,United Kingdom,INFL_NBT,6454
187,United Kingdom,INTFL,161369.3
188,United Kingdom,OUTFL,171014.7
189,United Kingdom,PRECIP,287606.9
190,United Kingdom,RFW_RES,172861.3
191,Kosovo,EVAP_TSP,4778
192,Kosovo,INFL_NBT,105
193,Kosovo,INTFL,2853
194,Kosovo,OUTFL,1145
195,Kosovo,PRECIP,763.1
196,Kosovo,RFW_RES,2958
